11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
20 ancient orbs, 4 orb of conflict, heatshiver, 250 quant t17 80 deli unique bosses shrined kill tul, 10k of each harvest juice, 1 of each temple resistance, 20 omen of refreshment, 20 maps 1h attack main skill, 100 Stacked Deck, kaom's binding, 10 Enkindling Orb, 80% deli t17 lt 50 remain and boss, kill kitava, The Price of Loyalty, 9 deafening zeal, 10 simulacrum, turn in cards for a t0, 5 Singular Scouting Report, 250 quant t17 100 deli possessed omniphobia, kill kitava with scion, 10 tailoring orbs, 11 The Scavenger, echoes of creation, 18 Time-Lost Relic, Full stack The Risk
piece of storms, 10 Vile Power, Full stack Boundless Realms, 64 large cluster 8 passive rare, 333 quant t17, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, every t1 ritual base, 20 maps spellslinger main skill, might of the meek, 1 uber, Full stack Azure Rage, 1 fracturing orbs, kill kitava, 250 quant t17 80 deli unique bosses shrined kill chayula, Full stack Lantador's Lost Love, Full stack The Scholar, 13 Society's Remorse, 4 unique relics, 20 maps 0% crit chance on main skill, 27 deafening fear, 3 passive voices, 100 total cluster jewel notables, delve curse on hit ring, 1 each relic base type, squire corrupted with plus any socketed gems
fractured delve mod, 100 delirium orbs, 3 forbidden shako, rain of splinters, 250 quant t17 80 deli unique bosses shrined kill ghorr, plus 2 counter thaumaturgy jobs ward, Delirious Scouting Report, 20 maps with cold main skill, 20 maps with triggered main skill, 10 perception contract, 1 each fossil, 4 voidstones, kill kitava, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, kill craiccean only wearing craiceann uniques, Full stack The Opulent, ashes of the stars, 20 tempering orbs, 11 No Traces, 4 the felbog fang, melding of the flesh, Full stack The Metalsmith's Gift, 2 curse impresence or soul ascension or eternity shroud, 100 distinct uniques, Saqawal First of the Sky
the fourth vow, the writhing jar, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 3 green woke gems, 20 reflective oils, 20 Farric Ursa, 4 ghost 80 deli minotaur, 200 tainted whetstone, plus 2 frenzy rare gloves, 5 lethal pride, aegis aurora, 2 curtain call, kill kitava, triple nonnegative leadership's price, 5 carto scarab of risk unid t17 full map effect atlas, 9 deafening scorn, 13 The Twins card, Full stack The Demoness, 20 maps with dot main skill, 20 maps with phys main skill, 3 gold oils, massive thread of hope, sap of the seasons, dissolution of the flesh, 100 Orb of Chance
20 maps main skill tagged nova, eyes of the greatwolf, level 13 every ascendancy, pillars of arun, 10 heist bases any, 13 The Twins contract, 20 maps with dot main skill, 10 Call to the First Ones, i83 catarina stand in green degen squares when they become available until end of fight, sandstorm visage, 20 Saqawine Retch, starforge, kill kitava, 50 tainted mythic orb, Full stack The Inventor, 20 Farric Chieftain, snakepit, 200 tainted armourer's, clear hall of the grandmasters, doppelganger guise, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, Full stack The Scholar, the light of meaning, crest of desire, obscurantis
i83 omnitect at most 2 items equipped, 5 brutal restraint, Full stack Glimmer of Hope, 20 maps with lightning main skill, death and taxes, 2 curse impresence or soul ascension or eternity shroud, 4 unique relics, tainted exalted orb, the anvil, The Price of Devotion, 11 Hope, 20 essence eradicator, kill kitava, 100 engineering orbs, 333 quant t17, every ritual unique, 20 small cluster jewel rare, ancestral vision, 20 maps 1000 dex, divination distillate, 100 total cluster jewel notables, 5 elegant hubris, 20 fragmented incubator, 20 reflective oils, 10 Enkindling Orb
bino's kitchen knife, 100 total cluster jewel notables, 20 maps main skill tagged herald, kintsugi, 50 tainted mythic orb, 20 Craicic Watcher, 10 bindings, 10 gearsets of chaos recipe, kill saqawal only wearing saqawal uniques, Full stack The Skeleton, ashes of the stars, 3 forbidden shako, kill kitava, 30 scouting reports, The Price of Loyalty, 250 quant t17 100 deli possessed kosis, Full stack The Calling, 80% deli t17 lt 50 remain and boss, 20 maps main skill tagged slam, 40 Orb of Regret, lab unique, 20 fertile catalyst, 19 Alone in the Darkness, make a harbinger unique, sandstorm visage
11 Dying Anguish, 300 quant t17 full spec ultimatum completed, upgrade a harbinger unique, 1000 Orb of Transmutation, mao kun, 5 militant faith, mark of the shaper and mark of the elder, Full stack The Wolf, triple wisp t17 boss, 40 jewels with inc or flat life, 6 tainted fusing, grand spectrum, kill kitava, Ambitious Obsession, dying sun, Comprehensive Scouting Report, impossible escape, 20 maps main skill tagged prismatic, 3 cinderswallow urn, 10 corrupted 6 links, 20 maps main skill tagged strike, bones of ullr, 7 ubers, 20 craicic squid, 3 gold oils
250 quant t17 abyss profound depth full atlas, Full stack Thirst for Knowledge, 33 The Journalist, kill kitava with elementalist, Full stack Glimmer of Hope, berek's respite, 3 gold oils, lab unique, wanderlust, 50 tainted mythic orb, inspired learning, unnatural instinct, kill kitava, the tides of time, upgrade a harbinger unique, 30 alva temples, 20 maps 1000 int, 2 abyss jewel ms if not damaged recently, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, hateforge, 23 Lost Worlds, 4 ghost 80 deli hydra, 200 yellow beasts, Full stack The Endurance, doppelganger guise
kill kitava with warden, 1 of each colour legion jewel, 36 Doedre's Madness, 4.5 hour a10 any marauder, Full stack Sambodhi's Vow, beltimber blade, 10 tailoring orbs, 21 The Sigil, ashes of the stars, 100 engineering orbs, 20 maps main skill tagged curse, 20 medium cluster 4 or 5 passive rare, kill kitava, afk blight ravaged no towers or button pressing, echoes of creation, 3 large cluster jewel 3 notable, atziri's foible, 17 The Summoner, 50 Lesser Eldritch Ember, each delve ring, Matryoshka, 250 quant t17 100 deli possessed kosis, 2 obliteration, vulconus, Black Morrigan
20 maps main skill tagged slam, ghost feared valdo, Full stack Society's Remorse, 10 aberrant fossil, 2 kalandra's touch, 50 tainted mythic orb, 50 ichors, 20 maps 50k armour, 20 craicic squid, Fenumus First of the Night, Full stack The Watcher, 12 large cluster 12 passive rare, kill kitava, 90 quant feared, harbinger scroll, the covenant, 36 Doedre's Madness, 10 tailoring orbs, shavronne's revelation, 2 curse impresence or soul ascension or eternity shroud, Full stack The Dragon, mark of the shaper and mark of the elder, the anvil, 4 witchhunter's judgement, 250 quant t17 80 deli unique bosses shrined kill xoph
the hungry loop, 20 maps 85 max res, 10 megalomaniac, 250 quant t17 80 deli unique bosses shrined kill esh, shadowstitch, massive thread of hope, 10 tailoring orbs, 50 The Scarred Meadow, 50 noxious catalyst, 10 The Fathomless Depths, 333 quant t17, 20 maps main skill tagged movement or travel or blink, kill kitava, 100 sepia oils, Saqawal First of the Sky, 50 tainted mythic orb, split personality, forbidden flame, 300 quant t17 full spec ultimatum completed, Full stack The Jeweller's Boon, 20 Fenumal Queen, hinekora's lock, Full stack The Master Artisan, kintsugi, 100 total cluster jewel notables
every delirium unique jewel, 20 maps with attack main skill, 300+ depth aul 2 phys as mods, lab unique, 4 ghost 80 deli phoenix, forbidden flame, 1 each fossil, 30 alva temples, 64 large cluster 8 passive rare, paradoxica, Full stack Last Hope, windscream, kill kitava, 10 bound fossil, Full stack Shard of Fate, crest of desire, 100 omen of return, delve max number of minion mod, marohi erqi attack speed or momentum corrupt, ming's heart, le heup of all, afk blight ravaged no towers or button pressing, 100 engineering orbs, 1 each relic base type, kill kitava with necromancer
250 deli splinters 1 map, essentia sanguis corrupted with lightning damage or attack speed, balance of terror, 5 brutal restraint, impossible escape, Full stack The Surgeon, 200 yellow beasts, crown of eyes, mark of the shaper and mark of the elder, 50 quant feared with all release, 200 astragali, 10 Broken Truce, kill kitava, abyss jewel i84 exclusive mod, 5x t3+ item, 5 transfigured gems that start with A, 64 large cluster 8 passive rare, Full stack The Battle Born, 20 maps main skill tagged channel, synth same implicit but worse, 4 hour a10 any ranger, Craiceann First of the Deep, 16 The Penitent, replica unique, 20 maps with triggered main skill
5 brutal restraint, 20 maps with triggered main skill, mao kun, 20 essence purifier, Fenumus First of the Night, 3 same grand spectrum, Full stack The Penitent, 10 facetor's lens, kill fenumus only wearing fenumus uniques, double reservation anointed rare amulet, 250 quant t17 80 deli unique bosses shrined kill ghorr, piece of brutality, kill kitava, bino's kitchen knife, incandescent heart, every talisman anointed, echoes of creation, level 97, forbidden flame, 20 Farric Ursa, 20 prismatic catalyst, 20 maps main skill tagged projectile, 50 noxious catalyst, Full stack Society's Remorse, Full stack Emperor's Luck
doppelganger guise, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, 1 fracturing orbs, turn in cards for a t0, piece of focus, 100 delirium orbs, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, 3 passive voices, piece of brutality, 20 Farric Ape, starforge, 20 maps CI, kill kitava, andvarius, caer blaidd, the taming, 200 tainted armourer's, 20 lightning and chaos unveiled, 4 orb of conflict, 5 way 4 unrelenting 3 layers of rewards, 20 omen of blanching, obscurantis, 20 essence purifier, Full stack Jack in the Box, 33 Imperial Legacy
20 essence enslaver, 20 maps dual wield attack main skill, wondertrap, 20 The Web, fury valve, essentia sanguis corrupted with lightning damage or attack speed, Full stack The Gemcutter, bloodseeker, forbidden flesh, 100 delirium orbs, 4 orb of conflict, lab unique, kill kitava, valyrium, every talisman anointed, 50k rogue markers, kill craiccean only wearing craiceann uniques, 20 craicic squid, 4.5 hour a10 like leaguestart, 1 any blueprint exclusive non replica unique, defiance of destiny, 20 maps cast while channeling main skill, 20 Blessed Orb, 10 dense fossil, 20 tainted chrome
30 scouting reports, Otherworldly Scouting Report, i83 catarina stand in green degen squares when they become available until end of fight, 20 rares t1 chaos res, 64 large cluster 8 passive rare, Divine Justice, 3 large cluster jewel 3 notable, 11 The Betrayal, 5 every transfigured colour, fractured delve mod, Full stack The Blazing Fire, Full stack Cursed Words, kill kitava, ulaman's gaze, 4 unique relics, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 6 rings 2 each min charge unveiled, the tides of time, Full stack The Calling, 10 deception contract, additional merchant choice relic, 20 maps 1000 strength, 20 maps 50k armour, 50 quant feared with all release, 20 Farric Ape
House of Mirrors, every attribute amulet anointed, t16 rare monster with 8 essence 4 ghost 80 deli, 20 lightning and chaos unveiled, 20 essence purifier, 10 gearsets of chaos recipe, echoes of creation, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 27 deafening fear, lab unique, 20 maps main skill tagged projectile, vixen's entrapment, kill kitava, Full stack The Stormcaller, 11 Emperor of Purity, Full stack Thirst for Knowledge, Full stack The Gemcutter, 5 transfigured gems that start with F, the anima stone, 200 astragali, 20 maps 85 max res, forbidden flame, astramentis, make a harbinger unique, Full stack Volatile Power
5 brutal restraint, kill saqawal only wearing saqawal uniques, forbidden flesh, 12 large cluster 12 passive rare, praxis, 10 gearsets of chaos recipe, 20 maps CI, lab unique, 250 quant t17 unique boss shrined and 4 ghosts, 350 Jeweller's Orb, one every curse on hit ring, 13 The Wolf, kill kitava, 250 quant t17 80 deli unique bosses shrined kill xoph, 20 Gemcutter's Prism, woke exceptional, 1 each relic base type, tabula rasa, incandescent heart, 1 each rare cluster jewel size, 200 tainted armourer's, 33 The Journalist, lab unique, 20 maps main skill tagged slam, profane proxy
10 Heterochromia, 100% deli 10 mod t16 less than 50 remain and map complete, inspired learning, Delirious Scouting Report, pilfering scarab 1000 cards one boss, 4 grasping mail, 7 ubers, 20 omen of refreshment, 2 curse impresence or soul ascension or eternity shroud, 10k of each harvest juice, lab unique, 18 deafening doubt, kill kitava, Black Morrigan, 1k Rogue's Marker, the ivory tower, timeclasp, 20 maps with dot main skill, 20 maps with fire main skill, every ritual unique, delve curse on hit ring, plus 2 power charge helmet, rebuke of the vaal, sandstorm visage, 100 distinct uniques
the overflowing chalice, plus 4 hands of the high templar, 20 maps main skill tagged slam, doppelganger guise, 1 of each colour legion jewel, 3 rares same name, 20 maps with fire main skill, double reservation anointed rare amulet, 5 way 4 unrelenting 3 layers of rewards, Full stack Cameria's Cut, 13 Boundless Realms, The Insane Cat, kill kitava, 5 brutal restraint, Full stack The Flora's Gift, 200 astragali, 4 ghost 80 deli hydra, 13 The Lich, 3 gold oils, 20 priceless contract, 250 quant t17 80 deli unique bosses shrined kill ghorr, mark of submission, 10 gearsets of chaos recipe, 11 Emperor of Purity, Full stack The Inventor
acton's nightmare, 10 temple mod rare weapon, 333 quant t17, Exalted Orb, 250 quant t17 unique boss shrined and 4 ghosts, 100 abyss jewels, 10 bound fossil, kill kitava with champion, sandstorm visage, 200 tainted armourer's, kill kitava with berserker, make a harbinger unique, kill kitava, 10 Instilling Orb, winterweave, 250 quant t17 80 deli unique bosses shrined kill uul netol, intuitive leap, 20 reflective oils, massive thread of hope, 10 The Easy Stroll, voideye, astramentis, 20 craicic squid, 5 glorious vanity, the utmost
